,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
290921,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,1203.7899,Instruction - SPED,General Purpose School,
408564,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,10.49,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
65978,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TRANSPORTATION,GENERAL FUND,Bus Driver Less than  Yr ,n/a,,,,0.130102040816,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",4183.57251745,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
325090,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Client Technlgies Analyst ,n/a,,,CUSTOMER RELATIONS MANAGEMENT,,NON-PROJECT,,PROFESSIONAL-OTHER,461.76,INFORMATION SYSTEMS SERVICES,,CENTRAL
216699,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,TARGETED INTERVENTIONS,,PROFESSIONAL-INSTRUCTIONAL,210.43912000000003,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
6545,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,General Assignment ,Regular,,,,,STATE ELPA (ENG LANG PROF ACT),,PARAPROFESSIONAL,3309.43,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
260700,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,General Assignment ,Regular,,,,,NON-PROJECT,,PARAPROFESSIONAL,18.86,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
436669,School Supervision,Leadership,Leadership & Management,Non-School,ELL,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,STATE AND LOCAL GDPG FUND,"Specialist, Instructional ",n/a,,,ES TEAM ,,STATE ELPA (ENG LANG PROF ACT),,PROFESSIONAL-OTHER,346.31,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
304019,Extended Time & Tutoring,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, MATH-MIDDLE          ",,,,School ,,EXCEPTIONAL                   ,,,507.67,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
200668,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,641.14,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
383119,Physical Health & Services,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SCHOOL NURSE SERVICES,GENERAL FUND,Office Support II ,n/a,,,SCHOOL NURSE SERVICES,0.495139968896,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,20983.2872622,NURSING SERVICES,,STUDENTS
19635,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,EDUCATIONAL ASSISTANT (CERA),,Regular Instruction,,,1.0,,,EDUC ASST  - ELEM,24189.0761908,Instruction - Regular,General Purpose School,
428220,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,COUNSELOR-MIDDLE              ,,,,School ,0.47,GUIDANCE SERVICES             ,,,28635.5916108,,GENERAL FUND                  ,
86934,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EQUIPMENT *,,Community Services,,,,Equipment *,,,Non-Public School Services *,,,-1345.8,,Title I - Disadvantaged Children/Targeted Assistance,ITEMABED-NONPUBLIC/ID 
108643,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,SALARIES OF PART TIME EMPLOYEE,,BUILDING FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.004310344827590001,ED TECH  GOB,,PROFESSIONAL-INSTRUCTIONAL,130.254984925,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
214210,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED  EQUIP        ,,,,,,,School ,,BASIC (FEFP K-12)             ,,,809.52,,GENERAL FUND                  ,VOCATIONAL EQUIPMENT          
162396,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",n/a,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,296.86,UNDESIGNATED,,UNDESIGNATED
111550,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,797.64,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
190675,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Spec Ed Asst, Mild/Moderate ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,170.13,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
427773,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,SUPPLIES & MATERIALS,,,,Printers for teachers and therapists,Capital Supplies ( Unit Cost  and > ,School ,,Instruction,Instruction And Curriculum,,681.19,Services To Students With Disabilities (Special Education),Idea Part B Formula,
358766,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER SUPPORT PERSONNEL       ,,,,,,,CURRICULUM AND INSTR          ,,PUPIL TRANSPORTATION SERVICES ,,,513.94,CHARTER,GENERAL FUND                  ,VPK                           
176403,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-50512.09,,Title I - Disadvantaged Children/Targeted Assistance,PUBLIC SALARY DIFFERENTIA
121082,Food Services,O&M,Shared Services,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Food Services - Other Costs,,,,,,,,0.0,,,,128409.62,Food Services,Central Cafeteria,
439147,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,,MEDIA CENTERS,,,,,,,EDUCATIONAL MEDIA SERVICE,,,133.64,MEDIA CENTERS,General Fund,
111682,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,General Assignment ,Regular,,,,0.145238095238,NON-PROJECT,,PARAPROFESSIONAL,3181.47406344,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
282075,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,"Materials, Supplies, and Other",,,,Professional and Contract Services,,,District Wide Resources,0.0,,,,200.17,Operations,School Projects,Youth Endowment of East ITEMFF
196669,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,CCOACH CERT TCHRACCT,119.95,Instruction - Regular,General Purpose School,
429337,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,587.01,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
31202,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Support Services - Instructional Staff,,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-1704.17,,Special Trust,ITEMS-VARIOUS GRANTS
387065,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,,MEDIA CENTERS,,,,,,,EDUCATIONAL MEDIA SERVICE,,,-12.62,MEDIA CENTERS,General Fund,
320454,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,General Assignment ,Regular,,,,0.13903119147,TITLE I,,PARAPROFESSIONAL,3044.2898889000007,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
209391,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,(blank),n/a,,,,,NON-PROJECT,,UNDESIGNATED,6.56,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
346495,Food Services,O&M,School Reported,School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Elementary,"CAFETERIA EMPLOYEE, FOOD SERV.",,,Extra Duty Pay/Overtime For Support Personnel,School ,,Food Services (Child Nutrition Fund Only),,REG FOOD SERVICE WORKER ,50.94,Undistributed,Campus Activity Funds,MISCELLANEOUS 
127457,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,0.083336497545,SPECIAL PROGRAM FUNDING,,PROFESSIONAL-INSTRUCTIONAL,5822.390442950002,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
24714,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,Non PreK,PreK-12 Operating,Other Utilities,,,,,Undistributed,Telephone And Telecommunication Charges,School ,,Facilities Maintenance And Operations,Child Nutrition,,107.89,Undistributed,National School Breakfast And Lunch Program,
84558,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,0.721314344772,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",14876.870909099998,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
446765,NO_LABEL,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,2623.51,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
374725,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Support Services - Instructional Staff,,,,Personal Services - Employees Salaries And Wages,,,Instruction And Curriculum Development Services *,,,167106.86,,Miscellaneous State Grants,WELLNESS BLOCK GRANT
94648,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,SPECIAL ED SYSTEMWIDE COSTS,GENERAL FUND,Summer School Para ,n/a,,,SUMMER SCHOOL - MIDDLE SCHOOLS,0.0126178163003,SPECIAL ED - EARLY CHILDHOOD,,PARAPROFESSIONAL,359.34367400599996,SPECIAL EDUCATION,,SPECIAL EDUCATION
171668,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,755.4100000000002,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
289544,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",EXTRA DUTY PAY-INSTRUCTIONAL  ,,,ADULT ED PT - PUBLIC SERV     ,,,,School ,,SCH ADMIN (OFFICE OF PRINC)   ,,,203.78,,GENERAL FUND                  ,EXTRA DUTY & REIMBURSABLE EXP 
186846,Professional Development,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,TITLE I-A NCLB - DISADVANTAGED CHILDREN,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,-0.32,"REGULAR, TITLE I",Title I,
248082,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,ATHLETICS,GENERAL FUND,(blank),n/a,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,,UNDESIGNATED,4973.719999999998,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
195493,Aides Compensation,Instruction,School Reported,School,NO_LABEL,TA,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Instructional Parapro-Sp Ed,,,,,1.0,,,SCHOOL ASST - SPECIAL ED ,19178.08,VI-B FLOWTHROUGH SPECIAL EDUCATION FUND ,Special Education,
289029,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,BUILDING FUND,"Principal, High School ",Regular,,,,,NS  GOB,,"CRAFTS, TRADES, AND SERVICES",3287.44,BUILDING IMPROVEMENT SERVICES,,BUILDING IMPROVEMENT SERVICES
257415,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,EDUCATIONAL ASST TITLE I (EL),,Title I - Teachers,,,1.0,,,EDUC ASST  - ELEM,24863.685094400003,Instruction - Regular,School Federal Projects,ESEA TITLE I DISADVANTAGED
182924,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SCHOOL ADMINISTRATIVE SUPPORT,LOCAL,DEAN OF STUDENTS (ET),,,,,1.0,,,,78256.68572899999,,,
266955,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Teacher Secondary (Middle) ,Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1696.01,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
308067,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,Non PreK,PreK-12 Operating,Social Security / Medicare,,Idea Part B Formula,,,Regular Salary,Social Security / Medicare,,,Instruction,Instruction And Curriculum,TEACHER MASTER,100.0210469766,Services To Students With Disabilities (Special Education),Idea Part B Formula,MEDICARE EMPLOYER EXPENSE
245441,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MIDDLE SCHOOL PROGRAM 6-8,,,,,,,INSTRUCTION,,,150.21,MIDDLE SCHOOL PROGRAM  6-8,General Fund,
23873,School Administration,Leadership,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,,General Supplies,School ,,"""Guidance, Counseling And Evaluation Services""",Special Education,,9.22,Services To Students With Disabilities (Special Education),General Operating Fund,
215284,Extended Time & Tutoring,Instruction,School Reported,School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,ESE SCHOOL SPECIALIST         ,,,,School ,,EXCEPTIONAL                   ,,,1380.25,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
190852,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,DISTRICT SPECIAL REVENUE FUNDS,Community School Instructor ,Regular,,,,0.122844827586,PROJECT,,PARAPROFESSIONAL,2612.4520133700007,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
124194,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,0.88,Transportation,Transportation Department,BUS DRIVER,16471.595098700003,Undistributed,General Operating Fund,REGULAR PAY
55658,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,112.25,Instruction - SPED,General Purpose School,
55030,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,TIME CARD CERTIFIEDAddl,125.3,Instruction - Regular,General Purpose School,
387068,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TEACHER, REGULAR",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER,181.095618055,Athletics And Related Activities,General Operating Fund,FIELD TRIPS
326332,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Hrly ",n/a,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,-14.51,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
268020,Professional Development,ISPD,Shared Services,Non-School,ELL,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,"Teacher, Short Term Sub ",n/a,,,ENGLISH FOR SPEAKERS OF OTHER,0.004310344827590001,TITLE III  ELA,,PROFESSIONAL-INSTRUCTIONAL,109.737938468,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
208079,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,30.17,Misc,General Fund,
44847,Professional Development,ISPD,School Reported,School,At Risk,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating,Consultants,,,,,,Consultants,School ,,Curriculum Development And Instructional Staff Dev,Instruction And Curriculum,,4000.33,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,
137456,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MIDDLE SCHOOL PROGRAM 6-8,,,,,,,INSTRUCTION,,,448.66,MIDDLE SCHOOL PROGRAM  6-8,General Fund,
190356,Instructional Materials & Supplies,Instruction,Shared Services,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,TEXTBOOKS                     ,,,,,,,School ,,BASIC (FEFP K-12)             ,,,85279.53,,GENERAL FUND                  ,STATE ADOPTED TEXT BKS        
253290,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Sr. Computer Lab Tech ,Regular,,,,,MISCELLANEOUS DONATIONS,,PARAPROFESSIONAL,701.37,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
166050,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,TRANSPORTATION,GENERAL FUND,Vehicle Service Tech I ,n/a,,,TRANSPORTATION,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",856.0034400000002,VEHICLE MAINTENANCE SERVICE II,,STUDENT TRANSPORTATION
293702,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,CUSTODIAN                     ,,,,School ,,OPERATION OF PLANT            ,,,175.23,,GENERAL FUND                  ,SCHOOL RECOGNITION            
225319,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Postage,,Community Services,,,,Communications *,,,Non-Public School Services *,,,2.71,,Auxiliary Services,AUX SERV -- MOBILE UNITS
